Country,Christians,% Christian,% Catholic,% Protestant/ Orthodox/ Other Christian,GDP/Capita PPP World Bank 2012
Norway ( details ),3844000,76.7%,"2.4% In 2015 the bishop of the Diocese of Oslo , Bernt Ivar Eidsvig , and his financial manager were charged with fraud for adding up to 65,000 extra names to the Catholic membership list over the previous several years.",74.3%,62767
Oman ( details ),180000,6.5%,,,27015
Pakistan ( details ),3300000,1.6%,0.8%,0.8%,2891
Palau ( details ),16000,77.9%,65%,12.9%,19031
Palestinian Territories ( details ),47000,1%-2.5%,,14.5,
Panama ( details ),3057000,92.0%,80%,12%,16615
Papua New Guinea ( details ),6800000,97%,27%,70%,2898
Paraguay ( details ),6260000,96%,88%,8%,6138
Peru ( details ),27635000,87%,77%,10%,10940
Philippines ( details ),86500000,85%,80%,5%,4413
Pitcairn Islands ( details ),50,100.0%,,100%,
Poland ( details ),36090000,94.3%,86.3%,8%,21903
Portugal ( details ),10110000,84.3%,81.0%,3.3%,25305
Puerto Rico ( details ),3878000,89%,56%,33%,
Qatar ( details ),263000,13.8%,,,86507
Romania ( details ),18067000,98.0%,11.0%,87.0%,16518
Russia ( details ),"66,000,000-99,775,000 [http://fom.ru/obshchestvo/10953 Public Opinion Foundation] Levada Center",46.6% [http://sreda.org/arena Arena - Atlas of Religions and Nationalities in Russia] . 2012 National Survey of Religions in Russia. Sreda.org -77.0% [http://wciom.ru/index.php?id=268&uid=13365 VTSIOM] [http://www.pewforum.org/2011/12/19/global-christianity-exec/ Pew],<0.1%,46.6%-77.0%,23549
Rwanda ( details ),9619000,93.6%,56.9%,26%,1354
San Marino ( details ),31000,91.6%,90.5%,1.1%,
Saudi Arabia ( details ),1500000,5%,,,
Senegal ( details ),570000,4.2%,,,1944
Serbia ( details ),7260000,91.0%,5.0%,86.0%,11544
Seychelles ( details ),80000,94.7%,82%,15.2%,27008
Sierra Leone ( details ),"619,000-1,294,000",10% -20.9%,,,1359
Singapore ( details ),900000,18.0%,5.7%,12%,61803
Slovakia ( details ),4730000,80.0%,67.0%,13.0%,24896
Slovenia ( details ),1610000,68.0%,64.0%,4.0%,26801
Somalia ( details ),1000,0.01%,0.0002%,0.01%,
South Africa ( details ),43090000,79.8% StatsSA National Census results 2012 http://www.statssa.gov.za/publications/SAStatistics/SAStatistics2012.pdf,5%,75%,11440
South Sudan ( details ),6010000,60.5%,30%,30%,
Spain ( details ),33000000,71% -72%,68%,2%,32129
Sri Lanka ( details ),1531000,7.5%,6.1%,1.4%,6247
Sudan ( details ),525000,1.5%,,,
Suriname ( details ),262000,48.4% [http://www.statistics-suriname.org/images/Presentatie.pdf 2012 Suriname Census Definitive Results] . Algemeen Bureau voor de Statistiek - Suriname.,21.6%,26.8%,8858
Sweden ( details ),6292000,65% [http://www.svenskakyrkan.se/default.aspx?id=780505&ptid=48063 Church of Sweden: Svenska kyrkans medlemsutveckling år 1972-2012] Svenska kyrkan,2%,63%,42217
Switzerland ( details ),5700000,66.9% -69.1% [http://www.bfs.admin.ch/bfs/portal/de/index/news/04/01.Document.199116.xls 2014 census results],36.5% -37.9%,30.4% -31.2%,55246
Syria ( details ),"1,800,000 [https://www.cia.gov/library/publications/the-world-factbook/geos/sy.html CIA World Factbook, ''People and Society: Syria'']",10.0%,2%,8%,5436
Tajikistan ( details ),110000,1.4%,0.1%,1.3%,2247
Tanzania ( details ),31342000,61.4%,,,1601
Thailand ( details ),778000,1.2%,0.6%,0.6%,9815
Togo ( details ),1966000,29.0%,,,1051
Tonga ( details ),84000,81.0%,16%,65%,5026
Trinidad and Tobago ( details ),774000,57.6% [http://www.cso.gov.tt/census 2011 National census] . cso.gov.tt,21.5%,33.4%,26647
Tunisia ( details ),7000,0.06%,,0.06%,9795
Turkey ( details ),"120,000 -310,000",0.2%,,,17651
Turkmenistan ( details ),466000,9.0%,,9%,10583
Uganda ( details ),29943000,88.6%,41.9%,46.7%,1352
Ukraine ( details ),"34,830,000 [http://old.razumkov.org.ua/upload/Religiya_200516_A4.compressed.pdf РЕЛІГІЯ, ЦЕРКВА, СУСПІЛЬСТВО І ДЕРЖАВА: ДВА РОКИ ПІСЛЯ МАЙДАНУ (''Religion, Church, Society and State: Two Years after Maidan'')] , 2016 report by Razumkov Center in collaboration with the All-Ukrainian Council of Churches. pp. 27-29. [https://web.archive.org/web/20170422181327/http://old.razumkov.org.ua/upload/Religiya_200516_A4.compressed.pdf Archived] .",81.9%,7.5%,74.4%,7418
United Arab Emirates ( details ),940000,9.0%,7%,2%,42384
United Kingdom ( details ),33200000,59.3%,8.9%,50%,35819
United States ( details ),213000000,65% -73%,20% -22.7%,45% -48.5%,49965
Uruguay ( details ),1941000,58.1% enha_rel,47%,11%,16037
Uzbekistan ( details ),710000,2.6%,,2.6%,
Venezuela ( details ),28340000,88.0%,71%,17%,13475
Vietnam ( details ),7038000,8.2% Pew Research Center : [http://www.pewforum.org/global-religious-landscape.aspx The Global Religious Landscape 2010] .,7%,1%,3635
Western Sahara ( details ),200,0.04%,0.04%,,
Yemen ( details ),"25,000 United States Bureau of Democracy, Human Rights and Labor. [https://2001-2009.state.gov/g/drl/rls/irf/2008/108496.htm Yemen: International Religious Freedom Report 2008] . -41,000",0.2%,0.02%,,2489
Zambia ( details ),12939000,95.5% [http://www.zamstats.gov.zm/nada/index.php/catalog/63 Zambia - 2010 Census of Population and Housing],20.2%,72.3%,1712
Zimbabwe ( details ),12500000,"87.0% [http://www.pewforum.org/files/2012/12/globalReligion-tables.pdf Religious composition by country] , Pew Research, Washington DC (2012)",17%,63%,559
Europe,565560000,76.2%,"35.0% [http://www.pewforum.org/2013/02/13/the-global-catholic-population/ The Global Catholic Population] , Pew Research CenterReligion & Public Life",41.2%,-
Latin America and the Caribbean,531280000,90.0%,"70% Fraser, Barbara J., [http://webarchive.loc.gov/all/20050628212330/http://www.catholicnews.com/data/stories/cns/0503707.htm In Latin America, Catholics down, church's credibility up, poll says] Catholic News Service June 23, 2005",20%,-
Africa,526016926,62.7%,21.0%,41.7%,-
Asia,"285,120,000 -375,905,000",7.0% -12.0%,3.0% -5.1%,4.0% -6.8%,-
North America,266630000,77.4%,22.0%,55.4%,-
Oceania,"25,754,000 [https://web.archive.org/web/20130815184022/http://wwwgordonconwell.com/netcommunity/CSGCResources/ChristianityinitsGlobalContext.pdf Christianity in its Global Context, 1970–2020 Society, Religion, and Mission] , Center for the Study of Global Christianity",73.3%,38.9%,34.4%,-
Middle East - North Africa,"12,000,000–16,000,000",3.8% -5.0%,2.0% -2.6%,1.8% -2.3%,-
Total,2431209718,33.4%,16.9%,16.5%,-
